id,atm_group,address,address_rus,lat,long,target,religious_buildings_100,food_drink_100,education_100,healthcare_100,transportation_100,entertainment_100,public_amenities_100,cash_intensive_shops_100,personal_services_100,large_retail_100,markets_vendors_100,tourism_100,financial_services_100,religious_buildings_250,food_drink_250,education_250,healthcare_250,transportation_250,entertainment_250,public_amenities_250,cash_intensive_shops_250,personal_services_250,large_retail_250,markets_vendors_250,tourism_250,financial_services_250,religious_buildings_500,food_drink_500,education_500,healthcare_500,transportation_500,entertainment_500,public_amenities_500,cash_intensive_shops_500,personal_services_500,large_retail_500,markets_vendors_500,tourism_500,financial_services_500,religious_buildings_1000,food_drink_1000,education_1000,healthcare_1000,transportation_1000,entertainment_1000,public_amenities_1000,cash_intensive_shops_1000,personal_services_1000,large_retail_1000,markets_vendors_1000,tourism_1000,financial_services_1000,highway_type,highway_distance,parking_count,parking_types,parking_distance,metro_count,metro_distance,bus_tram_count,bus_distance,city,region,is_urban
4510.0,496.5,PER. BAZARNY 4            SPASSK-DALNY,"Базарный переулок, 4, Спасск-Дальний, городской округ Спасск-Дальний, Приморский край, Дальневосточный федеральный округ, Россия",44.597339,132.816714,0.0391906415946258,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,2,2,0,2,0,1,1,0,0,5,2,0,0,2,2,0,3,0,1,7,1,0,8,4,1,0,2,5,0,4,0,1,7,unknown,0.0,3,"[""street_side"", ""parking""]",30.85415645569873,0,0.0,4,207.2243421815241,Спасск-Дальний,Приморский край,1
1591.0,1942.0,16A BEREJKOVSK NAB        MOSCOW      ,"Бережковская набережная, 16А, Москва, Москва, Центральный федеральный округ, Россия",55.737836,37.562604,0.0800340870031678,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,8,1,3,0,0,0,3,1,0,0,0,0,2,137,12,40,12,3,12,29,21,8,4,5,30,footway,144.15234127838497,0,empty,0.0,0,0.0,9,136.90340445367835,Москва,Москва,1
440.0,1942.0,113 MIRA AV.              TOGLIATTI   ,"улица Мира, 113, Тольятти, городской округ Тольятти, Самарская область, Приволжский федеральный округ, Россия",53.51069,49.444378,-0.0829561645280578,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,0,0,2,1,0,3,0,0,0,0,2,9,7,0,0,3,3,2,6,0,0,0,3,6,12,11,0,1,7,9,3,10,0,0,9,service,86.78528281633422,0,empty,0.0,0,0.0,10,89.18914561180873,городской округ Тольятти,Самарская область,1
556.0,1942.0,133A MOZHAYSKOE H/W.      MOSCOW      ,"Можайское шоссе, 133А, Одинцово, Московская область, Россия",55.684412,37.296119,0.0615173036596213,0,1,0,2,0,0,0,0,0,1,0,0,1,0,4,1,7,0,0,2,2,4,3,0,0,5,1,11,10,13,0,0,2,7,12,8,1,0,12,1,26,15,27,0,1,3,20,19,18,1,0,18,steps,30.509139093741464,2,"[""surface""]",51.23576139922513,0,0.0,10,51.49773282484416,Одинцово,Московская область,1
568.0,1942.0,63A IZMAYLOVSKIY AV.      MOSCOW      ,"Измайловский бульвар, 63А, Москва, Центральный федеральный округ, Россия",55.785296,37.852078,0.0082759964032928,0,1,0,3,0,0,0,3,3,2,0,0,0,0,8,2,8,0,0,1,11,9,2,0,0,0,0,14,2,11,0,0,2,18,15,5,0,0,0,0,20,2,11,1,0,2,22,15,6,4,0,2,service,12.278302898860904,8,"[""multi-storey"", ""surface"", ""street_side""]",19.368039281938927,0,0.0,5,249.7176635952756,Балашиха,Московская область,1
705.0,1942.0,45 YANA RAYNISA ST.       MOSCOW      ,"бульвар Яна Райниса, 45к1, Москва, Россия",57.79584,28.330187,0.0977262747361658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,1,0,0,1,0,1,1,0,1,1,4,0,1,2,0,0,3,0,2,1,1,1,service,19.94605535109093,0,empty,0.0,0,0.0,4,31.04489969117185,Псков,Псковская область,1
706.0,1942.0,45 YANA RAYNISA ST.       MOSCOW      ,"бульвар Яна Райниса, 45к1, Москва, Россия",57.79584,28.330187,0.0673419998357932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,1,0,0,1,0,1,1,0,1,1,4,0,1,2,0,0,3,0,2,1,1,1,service,19.94605535109093,0,empty,0.0,0,0.0,4,31.04489969117185,Псков,Псковская область,1
707.0,1942.0,45 YANA RAYNISA ST.       MOSCOW      ,"бульвар Яна Райниса, 45к1, Москва, Россия",57.79584,28.330187,0.1622313862404432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,1,0,0,1,0,1,1,0,1,1,4,0,1,2,0,0,3,0,2,1,1,1,service,19.94605535109093,0,empty,0.0,0,0.0,4,31.04489969117185,Псков,Псковская область,1
708.0,1942.0,45 YANA RAYNISA ST.       MOSCOW      ,"бульвар Яна Райниса, 45к1, Москва, Россия",57.79584,28.330187,0.1281522422059661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,1,0,0,1,0,1,1,0,1,1,4,0,1,2,0,0,3,0,2,1,1,1,service,19.94605535109093,0,empty,0.0,0,0.0,4,31.04489969117185,Псков,Псковская область,1
1307.0,1942.0,107 UNIVERSITETSKIY       VOLGOGRAD   ,"Университетский проспект, 107, Волгоград, городской округ Волгоград, Волгоградская область, Южный федеральный округ, Россия",48.636558,44.436073,0.0444785071210849,0,24,0,0,0,0,0,1,0,1,1,0,2,0,29,0,0,0,0,0,1,0,2,1,0,2,0,29,0,0,0,0,0,1,0,3,1,0,2,0,32,1,3,1,0,0,1,1,4,1,0,2,footway,97.93655783385567,1,"[""surface""]",89.47571548149932,0,0.0,9,118.23498671354916,Волгоград,Волгоградская область,1
1338.0,1942.0,28 STROITELEY BLVD        KEMEROVO    ,"бульвар Строителей, 28, Кемерово, Кемеровский городской округ, Кемеровская область — Кузбасс, Сибирский федеральный округ, Россия",55.344797,86.167516,0.0332655384837692,0,0,0,0,0,0,1,2,0,2,0,0,1,0,3,1,1,0,0,3,2,1,3,0,0,2,0,4,11,1,0,0,6,3,2,3,0,0,3,4,10,38,10,1,0,10,13,3,16,1,1,11,service,54.658229363765486,0,empty,0.0,0,0.0,7,127.04704717428304,Кемерово,Кемеровская область,1
2491.0,3185.5,PRESNENSKAJA              MOSKVA      ,"Москва, Пресненская набережная, Москва, Центральный федеральный округ, Россия",55.74635,37.539473,0.0060060357476447,0,9,0,0,1,0,0,1,1,0,0,0,1,0,43,0,3,5,1,0,5,9,0,0,2,9,2,129,3,17,9,4,5,22,26,9,8,6,32,4,192,10,49,17,6,18,39,57,12,14,11,55,service,19.022859273486976,2,"[""underground""]",62.41790824956031,15,225.83081145203465,24,141.31843658164064,Москва,Москва,1
8413.0,5478.0,PL. KOMENDANTSKAYA        SANKT-PETERB,"Санкт-Петербург, Комендантская площадь, Санкт-Петербург, Северо-Западный федеральный округ, Россия",60.007443,30.260065,-0.0373994933043668,0,7,0,2,1,1,0,3,3,0,1,0,2,0,23,2,14,2,1,0,9,12,6,13,0,26,0,40,7,34,2,3,2,19,28,14,14,0,44,0,83,22,62,2,5,14,40,49,32,18,1,67,footway,13.954538120082796,2,"[""underground"", ""surface""]",58.48517627923366,4,145.54307962572832,26,139.99725544692353,Санкт-Петербург,Санкт-Петербург,1
4871.0,5478.0,UL. GOGOLYA               NOVOSIBIRSK ,"Новосибирск, улица Гоголя, городской округ Новосибирск, Новосибирская область, Сибирский федеральный округ, Россия",55.044686,82.945439,-0.0570236544500832,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,2,0,0,0,2,1,1,1,0,1,1,9,7,12,1,1,1,8,3,3,1,0,4,1,33,21,37,1,1,9,37,17,6,1,5,12,residential,2.1501208743526603,2,"[""parking""]",21.708154482332848,3,361.8750337902519,13,32.98423821042315,Новосибирск,Новосибирская область,1
5021.0,5478.0,"D. 91, PR-KT OBVODNYI KAN ARKHANGELSK ","проспект Обводный канал, 91, Архангельск, городской округ Архангельск, Архангельская область, Северо-Западный федеральный округ, Россия",64.548725,40.537618,-0.0691872710113302,0,1,1,0,0,0,2,0,3,1,0,0,0,0,3,4,3,0,0,3,2,6,3,2,0,1,2,14,13,18,0,0,9,8,25,15,8,0,14,10,97,33,88,0,3,26,40,110,60,29,4,63,service,40.98332606933738,12,"[""parking""]",31.820978698578003,0,0.0,6,72.85340366392113,Архангельск,Архангельская область,1
5169.0,5478.0,"D. 6, PR-KT UL'YANOVSKII  ULYANOVSK G ","Ульяновский проспект, 6, Ульяновск, городской округ Ульяновск, Ульяновская область, Приволжский федеральный округ, Россия",54.372592,48.58505,-0.010810303788851,0,1,0,1,1,0,0,4,0,3,0,0,3,0,10,3,3,1,0,0,5,0,7,0,0,7,0,24,7,15,2,3,7,10,5,13,0,0,19,0,35,18,32,4,3,13,27,14,29,0,1,26,footway,27.94897440020033,2,"[""surface""]",78.75579975799886,0,0.0,5,92.06261683703303,Ульяновск,Ульяновская область,1
5304.0,5478.0,"D. 1, UL. 50-I ARMII      BRYANSK G   ","улица 50-й Армии, 1, Брянск, городской округ Брянск, Брянская область, Центральный федеральный округ, Россия",53.342661,34.292099,-0.0461536277031474,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,2,3,4,2,0,0,0,2,0,1,0,0,1,service,34.282266809310656,1,"[""parking""]",15.465961995352444,0,0.0,7,76.56630228645272,Брянск,Брянская область,1
5391.0,5478.0,"D. 66, PR-KT PARKOVYI     PERM G      ","Парковый проспект, 66, Пермь, городской округ Пермь, Пермский край, Приволжский федеральный округ, Россия",57.996473,56.174422,-0.0544579807433907,0,0,0,1,0,0,0,0,0,1,0,0,5,0,1,1,1,0,0,1,0,1,2,0,0,5,0,3,3,4,0,0,1,2,2,5,0,0,6,0,10,11,10,0,0,6,5,2,14,1,0,9,service,54.499297650087385,3,"[""parking""]",59.90915487612176,0,0.0,9,116.655092658121,Пермь,Пермский край,1
5877.0,5478.0,"D. 47 A, UL. KOMMUNISTICH ULAN-UDE G  ","Коммунистическая улица, 47А, Улан-Удэ, городской округ Улан-Удэ, Республика Бурятия, Дальневосточный федеральный округ, Россия",51.83206,107.585625,0.0040578269800006,0,0,0,0,0,0,0,0,0,0,0,2,1,0,12,1,3,0,2,2,1,0,3,0,3,4,0,33,9,6,0,2,4,4,2,5,0,7,7,2,61,18,15,2,6,15,17,7,20,0,16,27,footway,55.352800853629645,3,"[""surface"", ""lane"", ""parking""]",28.976634341400988,0,0.0,10,131.58000150670574,Улан-Удэ,Республика Бурятия,1
5878.0,5478.0,"D. 47 A, UL. KOMMUNISTICH ULAN-UDE G  ","Коммунистическая улица, 47А, Улан-Удэ, городской округ Улан-Удэ, Республика Бурятия, Дальневосточный федеральный округ, Россия",51.83206,107.585625,0.0038234989756568,0,0,0,0,0,0,0,0,0,0,0,2,1,0,12,1,3,0,2,2,1,0,3,0,3,4,0,33,9,6,0,2,4,4,2,5,0,7,7,2,61,18,15,2,6,15,17,7,20,0,16,27,footway,55.352800853629645,3,"[""surface"", ""lane"", ""parking""]",28.976634341400988,0,0.0,10,131.58000150670574,Улан-Удэ,Республика Бурятия,1
